region_code,region,ward_code,ward,district_code,district,municipality_code,municipality,precinct,voters_eligible,ballots_given_out,voter_turnout_pct,voted_in_person,voted_in_person_pct,voted_by_mail,voted_by_mail_pct,ballots_valid,ballots_valid_pct,ballots_valid_tip,ballots_valid_pct_tip,ballots_preferential_tip,ballots_preferential_pct_tip,ballots_valid_sms,ballots_valid_pct_sms,ballots_preferential_sms,ballots_preferential_pct_sms,ballots_valid_olano,ballots_valid_pct_olano,ballots_preferential_olano,ballots_preferential_pct_olano,ballots_valid_kanik,ballots_valid_pct_kanik,ballots_preferential_kanik,ballots_preferential_pct_kanik,ballots_valid_sanca,ballots_valid_pct_sanca,ballots_preferential_sanca,ballots_preferential_pct_sanca,ballots_valid_kollar,ballots_valid_pct_kollar,ballots_preferential_kollar,ballots_preferential_pct_kollar,ballots_valid_szs,ballots_valid_pct_szs,ballots_preferential_szs,ballots_preferential_pct_szs,ballots_valid_spolocne,ballots_valid_pct_spolocne,ballots_preferential_spolocne,ballots_preferential_pct_spolocn,ballots_valid_mkda,ballots_valid_pct_mkda,ballots_preferential_mkda,ballots_preferential_pct_mkds,ballots_valid_vzdor,ballots_valid_pct_vzdor,ballots_preferential_vzdor,ballots_preferential_pct_vzdor,ballots_valid_most,ballots_valid_pct_most,ballots_preferential_most,ballots_preferential_pct_most,ballots_valid_sns,ballots_valid_pct_sns,ballots_preferential_sns,ballots_preferential_pct_sns,ballots_valid_odvaha,ballots_valid_pct_odvaha,ballots_preferential_odvaha,ballots_preferential_pct_odvaha,ballots_valid_kss,ballots_valid_pct_kss,ballots_preferential_kss,ballots_preferential_pct_kss,ballots_valid_sdku,ballots_valid_pct_sdku,ballots_preferential_sdku,ballots_preferential_pct_sdku,ballots_valid_smer,ballots_valid_pct_smer,ballots_preferential_smer,ballots_preferential_pct_smer,ballots_valid_kdh,ballots_valid_pct_kdh,ballots_preferential_kdh,ballots_preferential_pct_kdh,ballots_valid_skok,ballots_valid_pct_skok,ballots_preferential_skok,ballots_preferential_pct_skok,ballots_valid_lsns,ballots_valid_pct_lsns,ballots_preferential_lsns,ballots_preferential_pct_lsns,ballots_valid_siet,ballots_valid_pct_siet,ballots_preferential_siet,ballots_preferential_pct_siet,ballots_valid_smk,ballots_valid_pct_smk,ballots_preferential_smk,ballots_preferential_pct_smk,ballots_valid_pd,ballots_valid_pct_pd,ballots_preferential_pd,ballots_preferential_pct_pd,ballots_valid_sas,ballots_valid_pct_sas,ballots_preferential_sas,ballots_preferential_pct_sas
8,"Kosicky kraj",803,"Michalovce",807,"Michalovce",523101,"Strazske","Strazske 02",1011,561,55.48,553,98.57,8,1.42,552,98.39,6,1.08,4,66.66,0,0,0,0,38,6.88,35,92.1,0,0,0,0,4,.72,2,50,39,7.06,29,74.35,3,.54,2,66.66,0,0,0,0,0,0,0,0,0,0,0,0,5,.9,4,80,50,9.05,36,72,0,0,0,0,4,.72,3,75,0,0,0,0,269,48.73,204,75.83,25,4.52,22,88,2,.36,2,100,37,6.7,29,78.37,34,6.15,32,94.11,0,0,0,0,0,0,0,0,36,6.52,31,86.11
8,"Kosicky kraj",803,"Michalovce",807,"Michalovce",523101,"Strazske","Strazske 03",1059,519,49,511,98.45,7,1.34,511,98.64,3,.58,3,100,0,0,0,0,33,6.45,32,96.96,0,0,0,0,3,.58,2,66.66,56,10.95,46,82.14,3,.58,2,66.66,0,0,0,0,0,0,0,0,1,.19,1,100,7,1.36,6,85.71,56,10.95,43,76.78,6,1.17,6,100,5,.97,5,100,1,.19,0,0,178,34.83,129,72.47,23,4.5,17,73.91,4,.78,3,75,50,9.78,45,90,32,6.26,29,90.62,0,0,0,0,3,.58,1,33.33,47,9.19,38,80.85
8,"Kosicky kraj",803,"Michalovce",807,"Michalovce",523101,"Strazske","Strazske 04",197,72,36.54,72,100,0,0,71,98.61,0,0,0,0,1,1.4,0,0,7,9.85,7,100,0,0,0,0,1,1.4,1,100,3,4.22,3,100,1,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7.04,5,100,0,0,0,0,1,1.4,1,100,0,0,0,0,24,33.8,20,83.33,10,14.08,5,50,0,0,0,0,2,2.81,2,100,9,12.67,9,100,0,0,0,0,1,1.4,1,100,6,8.45,4,66.66
8,"Kosicky kraj",803,"Michalovce",807,"Michalovce",523119,"Stretava","Stretava 01",522,170,32.56,169,99.41,0,0,166,98.22,9,5.42,9,100,0,0,0,0,8,4.81,8,100,0,0,0,0,2,1.2,2,100,15,9.03,13,86.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.6,0,0,6,3.61,4,66.66,0,0,0,0,0,0,0,0,0,0,0,0,84,50.6,73,86.9,4,2.4,3,75,2,1.2,2,100,15,9.03,13,86.66,9,5.42,9,100,0,0,0,0,2,1.2,1,50,9,5.42,7,77.77
8,"Kosicky kraj",803,"Michalovce",807,"Michalovce",523127,"Stretavka","Stretavka 01",159,84,52.83,84,100,0,0,84,100,0,0,0,0,0,0,0,0,2,2.38,2,100,0,0,0,0,13,15.47,13,100,9,10.71,9,100,1,1.19,1,100,0,0,0,0,0,0,0,0,0,0,0,0,1,1.19,1,100,11,13.09,11,100,0,0,0,0,0,0,0,0,0,0,0,0,29,34.52,29,100,2,2.38,2,100,1,1.19,1,100,7,8.33,7,100,2,2.38,2,100,0,0,0,0,2,2.38,2,100,4,4.76,4,100
8,"Kosicky kraj",803,"Michalovce",807,"Michalovce",523135,"Suche","Suche 01",344,236,68.6,235,99.57,1,.42,232,98.3,9,3.87,9,100,0,0,0,0,18,7.75,18,100,1,.43,0,0,0,0,0,0,8,3.44,5,62.5,3,1.29,1,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,7.32,15,88.23,0,0,0,0,2,.86,1,50,0,0,0,0,107,46.12,91,85.04,10,4.31,10,100,4,1.72,4,100,28,12.06,25,89.28,12,5.17,6,50,0,0,0,0,1,.43,1,100,12,5.17,8,66.66
8,"Kosicky kraj",803,"Michalovce",807,"Michalovce",523151,"Samudovce","Samudovce 01",419,189,45.1,187,98.94,2,1.05,185,97.88,1,.54,1,100,1,.54,1,100,12,6.48,12,100,0,0,0,0,2,1.08,2,100,12,6.48,12,100,0,0,0,0,0,0,0,0,1,.54,1,100,1,.54,0,0,2,1.08,2,100,5,2.7,3,60,1,.54,1,100,0,0,0,0,2,1.08,2,100,106,57.29,98,92.45,12,6.48,9,75,3,1.62,1,33.33,3,1.62,2,66.66,9,4.86,8,88.88,0,0,0,0,1,.54,1,100,11,5.94,10,90.9
8,"Kosicky kraj",803,"Michalovce",807,"Michalovce",523186,"Trhoviste","Trhoviste 01",12750,527,4.13,526,99.81,1,.18,515,97.72,11,2.13,9,81.81,1,.19,1,100,27,5.24,24,88.88,4,.77,3,75,2,.38,0,0,23,4.46,21,91.3,3,.58,2,66.66,0,0,0,0,0,0,0,0,0,0,0,0,5,.97,5,100,47,9.12,39,82.97,1,.19,1,100,3,.58,3,100,2,.38,2,100,269,52.23,231,85.87,31,6.01,29,93.54,2,.38,2,100,42,8.15,34,80.95,16,3.1,11,68.75,1,.19,0,0,0,0,0,0,25,4.85,15,60
8,"Kosicky kraj",803,"Michalovce",807,"Michalovce",523194,"Trnava pri Laborci","Trnava pri Laborci 01",467,281,60.17,277,98.57,3,1.06,277,98.92,3,1.08,2,66.66,0,0,0,0,22,7.94,22,100,0,0,0,0,1,.36,1,100,15,5.41,14,93.33,1,.36,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,10.1,19,67.85,0,0,0,0,2,.72,2,100,0,0,0,0,136,49.09,114,83.82,11,3.97,11,100,7,2.52,3,42.85,23,8.3,18,78.26,12,4.33,10,83.33,0,0,0,0,0,0,0,0,16,5.77,11,68.75
8,"Kosicky kraj",803,"Michalovce",807,"Michalovce",523208,"Tusice","Tusice 01",564,329,58.33,329,100,0,0,319,96.96,3,.94,3,100,1,.31,1,100,18,5.64,16,88.88,1,.31,1,100,3,.94,2,66.66,18,5.64,16,88.88,1,.31,1,100,0,0,0,0,0,0,0,0,0,0,0,0,1,.31,1,100,24,7.52,18,75,0,0,0,0,6,1.88,4,66.66,0,0,0,0,167,52.35,147,88.02,5,1.56,4,80,0,0,0,0,49,15.36,45,91.83,6,1.88,3,50,0,0,0,0,2,.62,2,100,14,4.38,11,78.57
